Database S1.2 ,,,,,,,,,,
Known non-perovskites,,,,,,,,,,
Compound,Structure,Source (ICSD ID or Reference),A,,B,,B’,,X,
,,,Ion,Oxidation state,Ion,Oxidation state,Ion,Oxidation state,Ion,Oxidation state
Ba2InIrO6,A2BB’X6 – other,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,In,3,Ir,5,O,-2
Ba2InRuO6,A2BB’X6 – other,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,In,3,Ru,5,O,-2
Ba2MnIrO6,A2BB’X6 – other,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Mn,3,Ir,5,O,-2
Ba2MnOsO6,A2BB’X6 – other,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Mn,2,Os,6,O,-2
Ba2MnRuO6,A2BB’X6 – other,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Mn,3,Ru,5,O,-2
Ba2NiOSO6,A2BB’X6 – other,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ni,2,Os,6,O,-2
Ba2NiTeO6,A2BB’X6 – other,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Ni,2,Te,6,O,-2
Ba2RhRuO6,A2BB’X6 – other,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Rh,3,Ru,5,O,-2
Ba2RhSbO6,A2BB’X6 – other,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Rh,3,Sb,5,O,-2
Ba2RhUO6,A2BB’X6 – other,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Rh,3,U,5,O,-2
Ba2ScMoO6,A2BB’X6 – other,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Sc,3,Mo,5,O,-2
Ba2ZnTeO6,A2BB’X6 – other,Prog. In Solid State Chem. 43 1-36 (2015),Ba,2,Zn,2,Te,6,O,-2
BaBAsO5,ABB’X5,404439,Ba,2,B,3,As,5,O,-2
BaBPO5,ABB’X5,50875,Ba,2,B,3,P,5,O,-2
BaCO3,Aragonite,15196,Ba,2,C,4,C,4,O,-2
BaCoO3,BaNiO3 – type,922,Ba,2,Co,4,Co,4,O,-2
BaCrO3,BaMnO3 – type,35029,Ba,2,Cr,4,Cr,4,O,-2
BaGeO3,ABX3 – other,"J Alloy and Compounds, 372, 40-48 (2008)",Ba,2,Ge,4,Ge,4,O,-2
BaMnO3,BaNiO3 – type,10331,Ba,2,Mn,4,Mn,4,O,-2
BaNbS3,BaNiO3 – type,659538,Ba,2,Nb,4,Nb,4,S,-2
BaNiO3,BaNiO3 – type,175,Ba,2,Ni,4,Ni,4,O,-2
BaRhO3,BaMnO3 – type,15520,Ba,2,Rh,4,Rh,4,O,-2
BaRuO3,BaRuO3 – type,10253,Ba,2,Ru,4,Ru,4,O,-2
BaRuO3,BaMnO3 – type,84652,Ba,2,Ru,4,Ru,4,O,-2
BaSe2O5,AB2X5,54157,Ba,2,Se,4,Se,4,O,-2
BaSiO3,BaRuO3 – type,156705,Ba,2,Si,4,Si,4,O,-2
BaSn2S5,AB2X5,424620,Ba,2,Sn,4,Sn,4,S,-2
BaTaS3,BaNiO3 – type,16083,Ba,2,Ta,4,Ta,4,S,-2
BaTaSe3,BaNiO3 – type,616129,Ba,2,Ta,4,Ta,4,Se,-2
BaTe3O7,AB3X7,431435,Ba,2,Te,4,Te,4,O,-2
BaTh2S5,AB2X5,251556,Ba,2,Th,4,Th,4,S,-2
BaTiS3,BaNiO3 – type,14175,Ba,2,Ti,4,Ti,4,S,-2
BaTiSe3,BaNiO3 – type,616131,Ba,2,Ti,4,Ti,4,Se,-2
BaU2S5,AB2X5,425332,Ba,2,U,4,U,4,S,-2
BaU2Se5,AB2X5,616132,Ba,2,U,4,U,4,Se,-2
BaU2Te5,AB2X5,251557,Ba,2,U,4,U,4,Te,-2
BaV4O9,AB3X9,172998,Ba,2,V,4,V,4,O,-2
BaVS3,BaNiO3 – type,8193,Ba,2,V,4,V,4,S,-2
BaVSe3,BaNiO3 – type,10486,Ba,2,V,4,V,4,Se,-2
BaVSi2O7,ABB’2X7,78029,Ba,2,V,4,Si,4,O,-2
BaZrSe3,BaNiO3 – type,616136,Ba,2,Zr,4,Zr,4,Se,-2
Be2SiO4,A2BX4 – other,64942,Be,2,Si,4,Si,4,O,-2
Bi2CdGeO6,A2BB’X6 – other,82158,Bi,3,Cd,2,Ge,4,O,-2
Bi2FeTiO6,A2BB’X6 – other,162263,Bi,3,Fe,2,Ti,4,O,-2
Bi2NiMnO6,A2BB’X6 – other,152487,Bi,3,Ni,2,Mn,4,O,-2
BiCdVO5,ABB’X5,91474,Cd,2,Bi,3,V,5,O,-2
BiCoPO5,ABB’X5,88825,Co,2,Bi,3,P,5,O,-2
BiMgVO5,ABB’X5,150399,Mg,2,Bi,3,V,5,O,-2
BiMnAsO5,ABB’X5,59721,Mn,2,Bi,3,As,5,O,-2
BiMnPO5,ABB’X5,95086,Mn,2,Bi,3,P,5,O,-2
BiMnVO5,ABB’X5,59720,Mn,2,Bi,3,V,5,O,-2
BiNiPO5,ABB’X5,79857,Ni,2,Bi,3,P,5,O,-2
BiPVO5,ABB’X5,60577,Pb,2,Bi,3,V,5,O,-2
BiSmO3,ABX3 – other,"J Alloy and Compounds, 372, 40-48 (2008)",Bi,3,Sm,3,Sm,3,O,-2
BPCo3O7,ABB’X3X7,51317,Co,2,P,5,B,3,O,-2
BPZn3O7,ABB’X3X7,406386,Zn,2,P,5,B,3,O,-2
Ca2Al2SiO7,A2B2B’X7,24588,Al,3,Ca,2,Si,4,Si,-2
Ca2B2SiO7,A2B2B’X7,5244,B,3,Ca,2,Si,4,Si,-2
Ca2BiAsO6,A2BB’X6 – other,91475,Ca,2,Bi,3,As,5,O,-2
Ca2GeS4,Olivine,23416,Ca,2,Ge,4,Ge,4,S,-2
Ca2SiS4,Olivine,619542,Ca,2,Si,4,Si,4,S,-2
Ca2SiSe4,Olivine,619574,Ca,2,Si,4,Si,4,Se,-2
Ca2SnS4,Olivine,619548,Ca,2,Sn,4,Sn,4,S,-2
CaBiVO5,ABB’X5,73814,Ca,2,Bi,3,V,5,O,-2
CaBPO5,ABB’X5,87893,Ca,2,B,3,P,5,O,-2
CaCO3,Aragonite,15194,Ca,2,C,4,C,4,O,-2
CaPtO3,Pyroxene,173278,Ca,2,Pt,4,Pt,4,O,-2
CaSe2O5,AB2X5,27209,Ca,2,Se,4,Se,4,O,-2
CaSnSiO5,ABB’X5,1042,Ca,2,Sn,4,Si,4,O,-2
CaTe2O5,AB2X5,419646,Ca,2,Te,4,Te,4,O,-2
CaTeCO5,ABB’X5,4319,Ca,2,Te,4,C,4,O,-2
CaTiGeO5,ABB’X5,171795,Ca,2,Ti,4,Ge,4,O,-2
CaTiSiO5,ABB’X5,9837,Ca,2,Ti,4,Si,4,O,-2
CaU2Se5,AB2X5,619577,Ca,2,U,4,U,4,Se,-2
CaZrGeO5,ABB’X5,154327,Ca,2,Zr,4,Ge,4,O,-2
CaZrSi2O7,ABB’2X7,203131,Ca,2,Zr,4,Si,4,O,-2
Cd2BiAsO6,A2BB’X6 – other,154151,Cd,2,Bi,3,As,5,O,-2
Cd2Mn3O8,A2B3X8,16957,Cd,2,Mn,4,Mn,4,O,-2
Cd2SiO4,A2BX4 – other,50527,Cd,2,Si,4,Si,4,O,-2
CdCO3,Calcite,33662,Cd,2,C,4,C,4,O,-2
CdSe2O5,AB2X5,75230,Cd,2,Se,4,Se,4,O,-2
CeBO3,Aragonite,99689,Ce,3,B,3,B,3,O,-2
Co2GeO4,Spinel,21115,Co,2,Ge,4,Ge,4,O,-2
Co2Mo3O8,A2B3X8,10143,Co,2,Mo,4,Mo,4,O,-2
Co2SiO4,Olivine,6248,Co,2,Si,4,Si,4,O,-2
Co2Te3O8,A2B3X8,50702,Co,2,Te,4,Te,4,O,-2
CoBiAsO5,ABB’X5,428633,Co,2,Bi,3,As,5,O,-2
CoCO3,Calcite,5208,Co,2,C,4,C,4,O,-2
CoFePO5,ABB’X5,93580,Co,2,Fe,3,P,5,O,-2
CoMnO3,Ilmenite,31854,Co,2,Mn,4,Mn,4,O,-2
CoSe2O5,AB2X5,49916,Co,2,Se,4,Se,4,O,-2
CoTiO3,Ilmenite,16548,Co,2,Ti,4,Ti,4,O,-2
CoU2S5,AB2X5,624883,Co,2,U,4,U,4,S,-2
Cr2SiO4,A2BX4 – other,75639,Cr,2,Si,4,Si,4,O,-2
CrBO3,Calcite,43311,Cr,3,B,3,B,3,O,-2
Cs2Hg3I8,A2B3X8,4074,Cs,1,Hg,2,Hg,2,I,-1
Cs2LiHoI6,A2BB’X6 – other,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,Li,1,Ho,3,I,-1
Cs2LiInCl6,A2BB’X6 – other,65735,Cs,1,Li,1,In,3,Cl,-1
Cs2LiLuI6,A2BB’X6 – other,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,Li,1,Lu,3,I,-1
Cs2LiScCl6,A2BB’X6 – other,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,Li,1,Sc,3,Cl,-1
Cs2LiScI6,A2BB’X6 – other,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,Li,1,Sc,3,I,-1
Cs2LiTmI6,A2BB’X6 – other,"Prog. Solid State Chem. 14, 141-219 (1982)",Cs,1,Li,1,Tm,3,I,-1
Cs2NaCoF6,A2BB’X6 – other,42157,Cs,1,Na,1,Co,3,F,-1
Cs2NaNiF6,A2BB’X6 – other,42152,Cs,1,Na,1,Ni,3,F,-1
Cs2NaTiF6,A2BB’X6 – other,67160,Cs,1,Na,1,Ti,3,F,-1
Cs3CoBr5,A3BX5,201135,Cs,1,Co,2,Co,2,Br,-1
Cs3ZnBr5,A3BX5,180053,Cs,1,Zn,2,Zn,2,Br,-1
Cs3ZnCl5,A3BX5,240876,Cs,1,Zn,2,Zn,2,Cl,-1
CsAs3O8,AB3X8,172984,Cs,1,As,5,As,5,O,-2
CsBaBr3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Cs,1,Ba,2,Ba,2,Br,-1
CsBaCl3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Cs,1,Ba,2,Ba,2,Cl,-1
CsBaF3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Cs,1,Ba,2,Ba,2,F,-1
CsBiNb2O7,ABB’2X7,96510,Bi,3,Cs,1,Nb,5,O,-2
CsCoCl3,BaNiO3 – type,27511,Cs,1,Co,2,Co,2,Cl,-1
CsCoF3,BaRuO3 – type,15091,Cs,1,Co,2,Co,2,F,-1
CsCr3O8,AB3X8,28410,Cs,1,Cr,5,Cr,5,O,-2
CsCrAs2O7,ABB’2X7,195521,Cr,3,Cs,1,As,5,O,-2
CsCrCl3,BaNiO3 – type,36132,Cs,1,Cr,2,Cr,2,Cl,-1
CsCrP2O7,ABB’2X7,54093,Cr,3,Cs,1,P,5,O,-2
CsCrP2S7,ABB’2X7,260893,Cr,3,Cs,1,P,5,S,-2
CsCrV2O7,ABB’2X7,262978,Cr,3,Cs,1,V,5,O,-2
CsCu2F5,AB2X5,33867,Cs,1,Cu,2,Cu,2,F,-1
CsErP2O7,ABB’2X7,421378,Er,3,Cs,1,P,5,O,-2
CsEu2I5,AB2X5,41099,Cs,1,Eu,2,Eu,2,I,-1
CsFeBr3,BaNiO3 – type,174041,Cs,1,Fe,2,Fe,2,Br,-1
CsFeCl3,BaNiO3 – type,300249,Cs,1,Fe,2,Fe,2,Cl,-1
CsFeP2O7,ABB’2X7,72723,Fe,3,Cs,1,P,5,O,-2
CsInP2O7,ABB’2X7,240262,In,3,Cs,1,P,5,O,-2
CsLaNb2O7,ABB’2X7,82378,La,3,Cs,1,Nb,5,O,-2
CsLuP2O7,ABB’2X7,160193,Lu,3,Cs,1,P,5,O,-2
CsMgBr3,BaNiO3 – type,87260,Cs,1,Mg,2,Mg,2,Br,-1
CsMgCl3,BaNiO3 – type,22086,Cs,1,Mg,2,Mg,2,Cl,-1
CsMgI3,BaNiO3 – type,87262,Cs,1,Mg,2,Mg,2,I,-1
CsMnBr3,BaNiO3 – type,2782,Cs,1,Mn,2,Mn,2,Br,-1
CsMnF3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Cs,1,Mn,2,Mn,2,F,-1
CsMnI3,BaNiO3 – type,10042,Cs,1,Mn,2,Mn,2,I,-1
CsMoP2O7,ABB’2X7,49919,Mo,3,Cs,1,P,5,O,-2
CsNbNb2O7,ABB’2X7,96511,Nb,3,Cs,1,Nb,5,O,-2
CsNbO3,ABX3 – other,"J Alloy and Compounds, 372, 40-48 (2008)",Cs,1,Nb,5,Nb,5,O,-2
CsNiBr3,BaNiO3 – type,423829,Cs,1,Ni,2,Ni,2,Br,-1
CsNiCl3,BaNiO3 – type,60262,Cs,1,Ni,2,Ni,2,Cl,-1
CsNiF3,BaNiO3 – type,15092,Cs,1,Ni,2,Ni,2,F,-1
CsNiI3,BaNiO3 – type,423830,Cs,1,Ni,2,Ni,2,I,-1
CsPd2Cl5,AB2X5,411722,Cs,1,Pd,2,Pd,2,Cl,-1
CsPd2F5,AB2X5,35284,Cs,1,Pd,2,Pd,2,F,-1
CsPdNiF5,ABB’X5,74288,Cs,1,Pd,2,Ni,2,F,-1
CsPuP2S7,ABB’2X7,94910,Pu,3,Cs,1,P,5,S,-2
CsTiBr3,BaNiO3 – type,41320,Cs,1,Ti,2,Ti,2,Br,-1
CsTiCl3,BaNiO3 – type,49748,Cs,1,Ti,2,Ti,2,Cl,-1
CsTiI3,BaNiO3 – type,154258,Cs,1,Ti,2,Ti,2,I,-1
CsTiP2O7,ABB’2X7,280202,Ti,3,Cs,1,P,5,O,-2
CsVBr3,BaNiO3 – type,201829,Cs,1,V,2,V,2,Br,-1
CsVCl3,BaNiO3 – type,15932,Cs,1,V,2,V,2,Cl,-1
CsVI3,BaNiO3 – type,26453,Cs,1,V,2,V,2,I,-1
CsVO3,ABX3 – other,"J Alloy and Compounds, 372, 40-48 (2008)",Cs,1,V,5,V,5,O,-2
CsVP2O7,ABB’2X7,65678,V,3,Cs,1,P,5,O,-2
CsYbP2O7,ABB’2X7,300200,Yb,3,Cs,1,P,5,O,-2
CsYP2O7,ABB’2X7,74599,Y,3,Cs,1,P,5,O,-2
Cu2BiAsO6,A2BB’X6 – other,88111,Cu,2,Bi,3,As,5,O,-2
Cu2BiPO6,A2BB’X6 – other,75387,Cu,2,Bi,3,P,5,O,-2
Cu2BiVO6,A2BB’X6 – other,51091,Cu,2,Bi,3,V,5,O,-2
Cu2Mn3O8,A2B3X8,971,Cu,2,Mn,4,Mn,4,O,-2
CuAlAsO5,ABB’X5,91551,Cu,2,Al,3,As,5,O,-2
CuCaCl3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Cu,1,Ca,2,Ca,2,Cl,-1
CuCdCl3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Cu,1,Cd,2,Cd,2,Cl,-1
CuCdI3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Cu,1,Cd,2,Cd,2,I,-1
CuFePO5,ABB’X5,93582,Cu,2,Fe,3,P,5,O,-2
CuInPO5,ABB’X5,89606,Cu,2,In,3,P,5,O,-2
CuInVO5,ABB’X5,151080,Cu,2,In,3,V,5,O,-2
CuNb3O8,AB3X8,14099,Cu,1,Nb,5,Nb,5,O,-2
CuPb3Br7,AB3X7,414107,Cu,1,Pb,2,Pb,2,Br,-1
CuPO3,ABX3 – other,"J Alloy and Compounds, 372, 40-48 (2008)",Cu,1,P,5,P,5,O,-2
CuSe2O5,AB2X5,603,Cu,2,Se,4,Se,4,O,-2
CuTe2O5,AB2X5,2542,Cu,2,Te,4,Te,4,O,-2
CuVSe2O7,ABB’2X7,88704,Cu,2,V,4,Se,4,O,-2
CuZnCl3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",Cu,1,Zn,2,Zn,2,Cl,-1
CuZrTiO5,ABB’X5,174286,Cu,2,Zr,4,Ti,4,O,-2
Dy2Be2GeO7,A2B2B’X7,39121,Dy,3,Be,2,Ge,4,Ge,-2
Dy2CuTiO6,A2BB’X6 – other,Prog. In Solid State Chem. 43 1-36 (2015),Dy,3,Cu,2,Ti,4,O,-2
DyBO3,ABX3 – other,"J Alloy and Compounds, 372, 40-48 (2008)",Dy,3,B,3,B,3,O,-2
Er2Be2GeO7,A2B2B’X7,39123,Er,3,Be,2,Ge,4,Ge,-2
Er2CuTiO6,A2BB’X6 – other,Prog. In Solid State Chem. 43 1-36 (2015),Er,3,Cu,2,Ti,4,O,-2
ErBO3,ABX3 – other,"J Alloy and Compounds, 372, 40-48 (2008)",Er,3,B,3,B,3,O,-2
Eu2Ga2GeS7,A2B2B’X7,262242,Ga,3,Eu,2,Ge,4,Ge,-2
Eu2SiO4,A2BX4 – other,1510,Eu,2,Si,4,Si,4,O,-2
EuBO3,ABX3 – other,"J Alloy and Compounds, 372, 40-48 (2008)",Eu,3,B,3,B,3,O,-2
EuCO3,Aragonite,109074,Eu,2,C,4,C,4,O,-2
Fe2GeO4,Spinel,93973,Fe,2,Ge,4,Ge,4,O,-2
Fe2GeS4,Olivine,333,Fe,2,Ge,4,Ge,4,S,-2
Fe2Mo3O8,A2B3X8,4182,Fe,2,Mo,4,Mo,4,O,-2
Fe2O3,Pyroxene,189439,Fe,3,Fe,3,Fe,3,O,-2
Fe2SiO4,Spinel,100552,Fe,2,Si,4,Si,4,O,-2
Fe2SiS4,Olivine,332,Fe,2,Si,4,Si,4,S,-2
FeAlPO5,ABB’X5,74760,Fe,2,Al,3,P,5,O,-2
FeBO3,Calcite,34474,Fe,3,B,3,B,3,O,-2
FeCO3,Calcite,100678,Fe,2,C,4,C,4,O,-2
FeTh2S5,AB2X5,633325,Fe,2,Th,4,Th,4,S,-2
FeTh2Se5,AB2X5,633494,Fe,2,Th,4,Th,4,Se,-2
FeTiO3,Ilmenite,9805,Fe,2,Ti,4,Ti,4,O,-2
FeU2S5,AB2X5,41899,Fe,2,U,4,U,4,Se,-2
GaAlO3,ABX3 – other,"J Alloy and Compounds, 372, 40-48 (2008)",Ga,3,Al,3,Al,3,O,-2
GaBO3,Calcite,429062,Ga,3,B,3,B,3,O,-2
Gd2Be2GeO7,A2B2B’X7,39120,Gd,3,Be,2,Ge,4,Ge,-2
GdBO3,ABX3 – other,"J Alloy and Compounds, 372, 40-48 (2008)",Gd,3,B,3,B,3,O,-2
GdYO3,ABX3 – other,"J Alloy and Compounds, 372, 40-48 (2008)",Gd,3,Y,3,Y,3,O,-2
Hg2CdSeO6,A2BB’X6 – other,413288,Hg,2,Cd,2,Se,6,O,-2
Ho2CuTiO6,A2BB’X6 – other,Prog. In Solid State Chem. 43 1-36 (2015),Ho,3,Cu,2,Ti,4,O,-2
HoBO3,ABX3 – other,"J Alloy and Compounds, 372, 40-48 (2008)",Ho,3,B,3,B,3,O,-2
In2BiGaS6,A2BB’X6 – other,410032,In,3,Bi,3,Ga,3,O,-2
InBO3,Calcite,75254,In,3,B,3,B,3,O,-2
InFeO3,ABX3 – other,"J Alloy and Compounds, 372, 40-48 (2008)",In,3,Fe,3,Fe,3,O,-2
K2CsBiCl6,A2BB’X6 – other,201983,K,1,Cs,1,Bi,3,Cl,-1
K2P2ScSe6,A2B2B’X7,239570,Sc,3,P,5,K,1,K,-2
K2SbPO6,A2BB’X6 – other,201788,K,1,Sb,5,P,5,O,-2
K2SeMoO6,A2BB’X6 – other,412999,K,1,Se,4,Mo,6,O,-2
K2VPO6,A2BB’X6 – other,72977,K,1,V,5,P,5,O,-2
K3BeF5,A3BX5,14114,K,1,Be,2,Be,2,F,-1
KAlAs2O7,ABB’2X7,79711,Al,3,K,1,As,5,O,-2
KAlP2O7,ABB’2X7,2888,Al,3,K,1,P,5,O,-2
KAsO3,ABX3 – other,"J Alloy and Compounds, 372, 40-48 (2008)",K,1,As,5,As,5,O,-2
KAuP2O7,ABB’2X7,165325,Au,3,K,1,P,5,O,-2
KBaBr3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",K,1,Ba,2,Ba,2,Br,-1
KBaCl3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",K,1,Ba,2,Ba,2,Cl,-1
KBaF3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",K,1,Ba,2,Ba,2,F,-1
KBeCl3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",K,1,Be,2,Be,2,Cl,-1
KBiP2S7,ABB’2X7,74019,Bi,3,K,1,P,5,S,-2
KCdI3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",K,1,Cd,2,Cd,2,I,-1
KCoBr3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",K,1,Co,2,Co,2,Br,-1
KCoI3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",K,1,Co,2,Co,2,I,-1
KCr3O8,AB3X8,15921,K,1,Cr,5,Cr,5,O,-2
KCrP2O7,ABB’2X7,84318,Cr,3,K,1,P,5,O,-2
KCrV2O7,ABB’2X7,245133,Cr,3,K,1,V,5,O,-2
KErP2S7,ABB’2X7,415671,Er,3,K,1,P,5,S,-2
KEu2I5,AB2X5,41100,K,1,Eu,2,Eu,2,I,-1
KFeAs2O7,ABB’2X7,160288,Fe,3,K,1,As,5,O,-2
KFeP2O7,ABB’2X7,86309,Fe,3,K,1,P,5,O,-2
KGaAs2O7,ABB’2X7,82391,Ga,3,K,1,As,5,O,-2
KGaP2O7,ABB’2X7,86310,Ga,3,K,1,P,5,O,-2
KHgI3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",K,1,Hg,2,Hg,2,I,-1
KInP2O7,ABB’2X7,240260,In,3,K,1,P,5,O,-2
KInP2S7,ABB’2X7,91755,In,3,K,1,P,5,S,-2
KLuP2O7,ABB’2X7,160191,Lu,3,K,1,P,5,O,-2
KMgI3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",K,1,Mg,2,Mg,2,I,-1
KMnI3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",K,1,Mn,2,Mn,2,I,-1
KMoP2O7,ABB’2X7,65656,Mo,3,K,1,P,5,O,-2
KNiCl3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",K,1,Ni,2,Ni,2,Cl,-1
KNO3,Aragonite,10289,K,1,N,5,N,5,O,-2
KPb2Cl5,AB2X5,416431,K,1,Pb,2,Pb,2,Cl,-1
KPO3,ABX3 – other,"J Alloy and Compounds, 372, 40-48 (2008)",K,1,P,5,P,5,O,-2
KPuP2S7,ABB’2X7,94908,Pu,3,K,1,P,5,S,-2
KSbO3,ABX3 – other,"J Alloy and Compounds, 372, 40-48 (2008)",K,1,Sb,5,Sb,5,O,-2
KSmP2S7,ABB’2X7,93760,Sm,3,K,1,P,5,S,-2
KSrCl3,ABX3 – other,"Acta Cryst B 64, 702-707 (2008)",K,1,Sr,2,Sr,2,Cl,-1
KTiP2O7,ABB’2X7,90013,Ti,3,K,1,P,5,O,-2
KVO3,ABX3 – other,"J Alloy and Compounds, 372, 40-48 (2008)",K,1,V,5,V,5,O,-2
KVP2O7,ABB’2X7,68625,V,3,K,1,P,5,O,-2
KVP2S7,ABB’2X7,91756,V,3,K,1,P,5,S,-2
